"Lieferadresse_ID_Nr";"Lieferadresse_Name";"Lieferadresse_Strasse";"Lieferadresse_Hausnummer";"Lieferadresse_Land";"Lieferadresse_PLZ";"Lieferadresse_Ort";"Lieferadresse_Telefon";"Lieferadresse_Telefax"
"H00000577";"Bringhen AG";"Kantonstrasse";"32";"CH";"3930";"Visp";"27 948 84 32";"27 948 84 79"
"H00000578";"Frinorm AG";"Föhrenweg";"9";"FL";"9496";"Balzers";"384 23 66";"384 23 35"
"H00000579";"Klaus Technik Sanitärreparaturen";"Unterweg";"5";"CH";"9552";"Bronschhofen";"";""
"H00000580";"peka-metall AG";"Luzernerstrasse";"20";"CH";"6295";"Mosen";"41 919 94 00";"41 919 94 10"
"H00000581";"Noerpel GmbH + Co. KG";"";"";"DE";"88189";"Ravensburg";"";""
"H00000582";"Frans Maas (Schweiz) AG";"Gewerbehaus Moskau";"";"CH";"8262";"Ramsen";"52 742 84 84";"52 742 84 80"
"H00000583";"Sutter Service AG";"Adlikerstrasse";"236";"CH";"8105";"Regensdorf";"44 840 29 10";"44 840 29 56"
"H00000584";"It factory ag";"Dorfstrasse";"4";"CH";"8537";"Nussbaumen";"52 740 22 61";"52 740 22 63"
"H00000585";"r-team Schreinerei AG";"Lamprtji";"6";"CH";"3945";"Gampel";"027 932 11 44";"027 932 30 71"
"H00000586";"Malerei Meier AG";"Ausserfeld";"7";"CH";"9606";"Bütschwil";"71 983 42 93";"71 983 33 47"
"H00000587";"Lusti Elias";"Falkenstrasse";"5";"CH";"9552";"Bronschhofen";"71 911 08 46";"71 911 06 86"
"H00000588";"Winkler";"Kirchbergstrasse";"35";"CH";"8134";"Adliswil";"044 710 62 14";"044 710 85 50"
"H00000589";"MoBau AG";"Mühlfangstrasse";"24";"CH";"8570";"Weinfelden";"71 6261616";"71 6261617"
"H00000591";"Isofloc AG";"Soorpark";"";"CH";"9606";"Bütschwil";"71 313 91 00";"71 313 91 09"
"H00000592";"Anderegg und Scherrer GmbH";"Jonschwilerstrasse";"24";"CH";"9536";"Schwarzenbach";"71 923 82 88";"71 923 82 05"
"H00000593";"P.M.S.";"Oberer Graben";"22";"CH";"9001";"St. Gallen";"71 227 24 44";"71 227 24 40"
"H00000595";"Gerlach AG";"Neue Grenzzollanlage, Gebäude";"C";"CH";"8280";"Kreuzlingen";"71 677 94 92";"71 677 94 99"
"H00000596";"m+t Ritthammer Publishing GmbH";"";"";"DE";"90019";"Nürnberg";"911 955 78 80";"911 955 78 78"
"H00000597";"Richter + Frenzel GmbH + Co.KG";"Breitungerstrasse";"1";"DE";"36100";"Petersberg";"";""
"H00000598";"John Spedition GmbH";"Zum Lingeshof";"10";"DE";"36124";"Eichenzell";"665 99 72 0";"665 94 87 8"
"H00000599";"Eurotech AG";"Dorfstrasse";"21";"CH";"9462";"Montlingen";"71 760 00 16";"71 760 00 17"
"H00000600";"Sanro Sanitair B.V.";"Daalakkerweg";"93";"NL";"6041";"BK Roermond";"";""
"H00000601";"Desco";"Bijkhoevelaan";"2";"NL";"2110";"Wijnegem B";"";""
"H00000602";"KIFA AG";"Châtelstrasse";"5";"CH";"8355";"Aadorf";"52 368 41 21";"52 368 41 41"
"H00000603";"Frateur";"Blarenberglaan";"17";"NL";"2800";"Mechelen B";"";""
"H00000604";"Textil-Oase";"";"";"CH";"9615";"Dietfurt";"81 757 11 58";"81 757 23 13"
"H00000605";"Jugendheim Plantanenhof";"";"";"CH";"9242";"Oberuzwil";"71 955 41 00";"71 955 41 01"
"H00000606";"Sanro Sanitair B.V.";"Daalakkerweg";"93";"NL";"6041";"BK Roermond";"";""
"H00000607";"Roger Kuster AG";"Helvetiastrasse";"51 a";"CH";"9000";"St. Gallen";"71 245 29 35";"71 244 10 28"
"H00000608";"Widmer Badservice";"Thurstrasse";"2";"CH";"9615";"Dietfurt";"71 982 70 60";"71 982 70 61"
"H00000609";"R. Schellenberg AG";"Schaffhauserstrasse";"24";"CH";"8401";"Winterthur";"52 260 20 30";"52 260 20 33"
"H00000610";"Chäslade Kaufmann";"";"";"CH";"9607";"Mosnang";"71 983 15 44";""
"H00000611";"Säntis-Schwebebahn AG";"";"";"CH";"9107";"Schwägalp";"71 365 65 65";""
"H00000612";"Ernst H. Furrer AG";"Hüttenwiesenstrasse";"8";"CH";"8108";"Dällikon";"44 849 79 00";"44 849 79 01"
"H00000613";"Kisling AG";"Motorenstrasse";"102";"CH";"8620";"Wetzikon";"58 272 01 01";"58 272 01 03"
"H00000614";"L. Claeys-Verhelst";"Stationsstraat";"56";"NL";"8460";"Oudenburg B";"";""
"H00000615";"Amacher AG";"Lettenweg";"76";"CH";"4123";"Allschwil";"61 487 46 46";"61 481 99 09"
"H00000616";"Kludi GmbH & CO. KG";"Am Vogelsang";"31-33";"DE";"58685";"Menden";"";""
"H00000617";"M+R Metzger + Richner";"";"";"CH";"8207";"Schaffhausen";"52 644 18 88";"52 644 18 44"
"H00000618";"Tschudi Holz AG";"Industrie Süd";"";"CH";"8755";"Ennenda";"0055 640 15 21";"0055 640 15 15"
"H00000619";"Bosson Cuisines SA";"Au village";"";"CH";"1720";"Chésopelloz";"26 475 27 31";"26 475 36 19"
"H00000620";"Tinguely Cuisine";"Route Cantonale";"1";"CH";"1163";"Etoy";"21 807 41 87";"21 807 41 86"
"H00000621";"Kreuzer Erhard";"Terbinerstrasse";"10";"CH";"3930";"Visp";"027 946 11 81";"027 946 60 20"
"H00000622";"ANC Sarl";"Rue du Riant-Coteau";"11";"CH";"1196";"Gland";"22 995 02 12";"22 995 02 14"
"H00000623";"Bruno Piatti AG";"Riedmühlenstrasse";"16";"CH";"8305";"Dietlikon";"44 835 51 11";"44 835 07 41"
"H00000624";"C. Kursner & Cie SA";"rte Suisse";"137";"CH";"1290";"Versoix";"22 779 21 57";"22 773 04 77"
"H00000625";"Glob-Sped AG";"Genuastrasse";"15";"CH";"4142";"Münchenstein";"61 337 32 32";"61 337 32 00"
"H00000626";"Foto Abderhalden";"Bahnhofstrasse";"10";"CH";"9630";"Wattwil";"71 988 10 10";"71 988 10 11"
"H00000627";"Brüschweiler & Schadegg AG";"Dorfstrasse";"10";"CH";"8514";"Bissegg";"71 651 10 20";"71 651 10 21"
"H00000628";"Rudolf Geiser AG";"";"";"CH";"4901";"Langenthal";"62 916 15 61";"62 916 15 65"
"H00000629";"Müller Logistik AG";"Neugrütstrasse";"3";"CH";"9430";"St. Margrethen";"71 747 52 21";"71 747 52 62"
"H00000631";"DE MARTIN AG";"Froheggstrasse";"34";"CH";"9545";"Wängi";"52 369 70 00";"52 378 23 97"
"H00000633";"Ernst Wieland AG";"Florastrasse";"20";"CH";"8008";"Zürich";"";"044 497 70 77"
"H00000634";"Schriber AG Rothenburg";"Buzibachstrasse";"6";"CH";"6023";"Rothenburg";"041 2890156";"041 2802955"
"H00000635";"Café Cameleon";"Innerfeld";"18";"CH";"9606";"Bütschwil";"71 983 05 85";""
"H00000636";"Wyssmüller Automobiles SA";"Rue de Vevey";"168";"CH";"1630";"Bulle";"26 919 81 81";"26 919 81 82"
"H00000637";"Bereal";"Verena Conzett-Strasse";"7";"CH";"8004";"Zürich";"43 243 92 32";""
"H00000638";"Egli AG";"Wilerstrasse";"7";"CH";"9606";"Bütschwil";"71 983 55 33";"71 983 15 65"
"H00000639";"Lehnkering Logistik AG";"Hafenstrasse";"13";"CH";"4019";"Basel";"61 639 91 61";"61 639 91 62"
"H00000640";"Artho Boden Ideen";"Burgstrasse";"47";"CH";"9000";"St. Gallen";"71 278 80 30";"71 278 80 35"
"H00000641";"Suva Luzern";"Fluhmattstrasse";"1";"CH";"6002";"Luzern";"41 419 51 11";"41 419 58 28"
"H00000642";"Widmer Walter Schreinerei AG";"Bahnweg";"3";"CH";"8700";"Küsnacht";"44 9101022";"44 9133059"
"H00000643";"Edwin Keller + Partner AG";"St. Gallerstrasse";"60";"CH";"9200";"Gossau";"71 3881788";"71 3881799"
"H00000644";"Radisson SAS Hotel";"St. Jakob-Strasse";"55";"CH";"9000";"St. Gallen";"71 242 12 12";"71 242 12 00"
"H00000645";"Sawitco SA";"Av. Villamont";"19";"CH";"1005";"Lausanne";"21 3121961";"21 3110031"
"H00000646";"Sawitco SA";"Av. Villamont";"19";"CH";"1005";"Lausanne";"";""
"H00000647";"Gebr. Steiner";"Rohrgartenstrasse";"54";"CH";"9642";"Ebnat-Kappel";"+49 71 993 2246";"+49 71 993 2029"
"H00000648";"Kaltenrieder Jean-Marc";"ch. des Petits Clos";"3";"CH";"1582";"Donatyre";"26 6751995";""
"H00000649";"Danuser AG";"Sturzeneggstrasse";"16";"CH";"9100";"Herisau";"71 3547430";"71 3547437"
"H00000650";"Frederick + Stähli Autobahnzollamt";"Autobahnzollamt Kreuzlingen";"";"CH";"8280";"Kreuzlingen";"71 677 95 00";"71 677 95 01"
"H00000651";"General Overnight Basel GmbH";"Freiburger Strasse";"9";"CH";"4057 BASEL";"Basel";"61 685 94 00";"61 685 94 01"
"H00000652";"Stadtpolizei Luzern";"Hirschengraben";"17";"CH";"6002";"Luzern";"41 208 77 68";"41 208 77 54"
"H00000653";"Laufen Benelux B.V.";"Hardwareweg";"36";"NL";"3821 BM";"Amersfoort";"0334502090";"0334502091"
"H00000654";"Künzler + Co";"Sonnenhügelstrasses";"27";"CH";"9320";"Arbon";"446 42 50";"440 01 61"
"H00000655";"Kalag";"Soorpark";"";"CH";"9606";"Büschwil";"930 04 74";"930 04 77"
"H00000656";"Supersanit S.A.";"Rue Larmoyer";"1";"BE";"1301";"Bierges";"";""
"H00000657";"Dupont M. N. V.";"Oudenaardsesteenweg";"266-268";"BE";"8500";"Kortrijk";"";""
"H00000658";"AWV Informatik AG";"Spechtstrasse";"8";"CH";"9320";"Arbon";"";""
"H00000659";"Swisslos Internationale Landeslotte";"Lange Gasse";"20";"CH";"4002";"Basel";"61 284 11 11";"61 284 13 33"
"H00000660";"Rohrer und Co.";"Kernzerstrasse";"6";"CH";"6060";"Sarnen";"";""
"H00000661";"Gévier B.V.";"De Bolder";"79";"NL";"9206";"AP Drachten";"";""
"H00000662";"Techno Wood GmbH";"Riethalden";"";"CH";"9658";"Wildhaus";"71 997 04 00";"71 997 04 01"
"H00000663";"BTA Travel AG";"Bahnhofstrasse";"17";"CH";"9471";"Buchs";"81 750 55 99";"81 750 55 95"
"H00000664";"Huet Sprl";"Rue de Trazegnies";"133-177";"BE";"6180";"Courcelles";"";""
"H00000665";"Handelsonderneming Koekkoek B.V.";"Willem de Zwijerlaan";"344";"NL";"1055";"RD Amsterdam";"";""
"H00000666";"MPDV Mikrolab GmbH";"Römerring";"1";"DE";"74821";"Mosbach";"6261 92 09 0";"6261 18 13 9"
"H00000667";"Balancer GmbH";"Im Dorf";"6";"CH";"8704";"Herrliberg";"";""
"H00000668";"Stiftung Brändi";"Horwerstrasse";"123";"CH";"6011";"Kriens";"";""
"H00000669";"Engeler-Frei Schreinerei GmbH";"Goldackerstrasse";"8";"CH";"8500";"Frauenfeld";"52 720 88 66";""
"H00000670";"Cuisine-Art S.A.";"Rte. de Divonne";"46";"CH";"1260";"Nyon";"+41 22 9949400";"+41 22 9949401"
"H00000671";"Cuisine-Art S.A.";"Rte de Divonne";"46";"CH";"1260";"Nyon";"22 7385343";"22 7385344"
"H00000672";"Dipl. Ing. FUST AG";"Moserstrasse";"14";"CH";"8200";"Schaffhausen";"52 6330280";"52 6330288"
"H00000673";"Garage Kaufmann AG";"Arbonerstrasse";"39";"CH";"9303";"Wittenbach";"71 298 14 38";"71 298 53 19"
"H00000674";"B. Keller AG";"Schulstrasse";"4";"CH";"9247";"Henau";"71 982 80 80";"71 982 80 72"
"H00000675";"Darty - Crissier";"Route de Morges";"17";"CH";"1023";"Crissier";"21 706 02 40";"21 706 02 49"
"H00000676";"Bruno Piatti AG";"Rue de l'Industrie";"58";"CH";"1030";"Bussigny";"21 7066010";"21 7066040"
"H00000677";"Omya AG";"Baslerstrasse";"42";"CH";"4665";"Oftringen";"62 789 22 80";"62 789 22 38"
"H00000678";"Kantonspolizei Basel-Stadt";"";"";"CH";"4005";"Basel";"61 267 82 38";"61 267 82 67"
"H00000679";"Fraefel Beat";"Birnbäumenstrasse";"55";"CH";"9000";"St. Gallen";"";""
"H00000680";"Fluora Leuchten AG";"St. Gallerstrasse";"49";"CH";"9101";"Herisau";"71 353 06 49";"71 353 07 33"
"H00000681";"Protekta Rechtsschutz AG";"";"";"CH";"3001";"Bern";"";""
"H00000682";"HIAG Imballegno AG";"Grenzstrasse";"24";"CH";"9430";"St. Margrethen";"71 744 86 74";"71 744 12 41"
"H00000683";"A. Schneider S.A.";"Rte. de Saint-Julien";"44";"CH";"1227";"Carouge";"22 8271010";"22 8271020"
"H00000684";"Franz Scheffer GmbH & Co. KG";"Am Vogelsang";"31-33";"DE";"58706";"Menden";"";"2373 904245"
"H00000685";"Lions Club";"St. Jakobsstrasse";"35";"CH";"9004";"St. Gallen";"71 242 66 77";"71 242 66 78"
"H00000686";"ALNO (Schweiz) AG";"Am Kägenrain";"1-3";"CH";"4153";"Reinach";"61 7112000";"61 7112021"
"H00000687";"RS Agencement Steiner SA";"Rte. de la Chaux";"5";"CH";"";"1030 Bussigny-près-Lausanne";"21 70104061";"21 7010537"
"H00000688";"EK Küchen AG";"Sägemattstrasse";"1";"CH";"3098";"Köniz";"31 978 08 08";"31 978 08 88"
"H00000689";"Fust AG";"Buchental";"4";"CH";"9245";"Oberbüren";"71 955 50 50";"71 955 55 00"
"H00000690";"Käslin Innenausbau AG";"Untere Allmendstr.";"17";"CH";"6312";"Steinhausen";"41 7416420";"41 7416670"
"H00000691";"Reichel Cuisines SA";"Avenue du Mail";"19";"CH";"1205";"Genève";"";""
"H00000692";"W. Pfister Erben AG";"Hutzikerstrasse";"17";"CH";"8488";"Turbenthal";"52 385 34 00";"52 385 34 00"
"H00000693";"Pedretti Granit- und Marmorwerke AG";"Dällikerstrasse";"29";"CH";"8107";"Buchs ZH";"44 844 18 11";""
"H00000694";"Leuco AG";"Neudorfstrasse";"69";"CH";"9430";"St. Margrethen";"71 747 8080";"71 747 8074"
"H00000695";"Alfred Imhof AG";"Jurastrasse";"10";"CH";"4142";"Münchenstein";"61 417 17 17";"61 417 17 00"
"H00000696";"Element Küchen AG, Zürich";"Hardturmstrasse";"101";"CH";"8031";"Zürich";"44 446 16 07";"44 446 16 50"
"H00000697";"Alois Kaufmann";"Holzrüti";"";"CH";"9308";"Lömmenschwil";"71 298 17 17";"71 298 17 44"
"H00000698";"buch.ch AG";"Pflanzschulstrasse";"3";"CH";"8411";"Winterthur";"848 28 24 24";"848 28 24 28"
"H00000699";"Lütisburger Fasnachtsumzug";"";"";"CH";"9604";"Lütisburg";"";""
"H00000700";"NPW Architectes";"Rue du Beulet";"4";"CH";"1203";"Genève";"22 344 14 83";"22 344 14 85"
"H00000701";"Dürig Bois SA";"Route de Gingins";"5";"CH";"1274";"Grens-sur-Nyon";"22 3612476";"22 3624076"
"H00000702";"Künzle Schreinerei";"Kirchstrasse";"19";"CH";"9200";"Gossau";"71 385 70 88";"71 385 70 87"
"H00000703";"Koster + Hautle AG";"Herisauerstrasse";"59";"CH";"9200";"Gossau";"71 3111532";"71 3101480"
"H00000704";"Gämperle Bau AC GmbH";"Toggenburgerstrasse";"132";"CH";"9500";"Wil";"71 920 10 60";"71 920 10 61"
"H00000705";"Primarschule Faulensee";"Kirschgartenstrasse";"15";"CH";"3705";"Faulensee";"";""
"H00000706";"Sanistock S.A.";"Van Schoorstraat";"86-90";"BE";"1030";"Bruxelles";"";""
"H00000707";"Van Poucke N.V.";"Industrielaan";"16";"BE";"9620";"Zottegem";"";""
"H00000708";"Steinmann Thomas";"";"";"CH";"";"Saas im Prättigau";"";""
"H00000709";"Testa";"Via Surpunt";"56";"CH";"7500";"St.Moritz";"081 837 06 66";"081 837 06 31"
"H00000710";"Odermatt";"Hauptstrasse";"71";"CH";"9434";"Au";"71 744 40 42";""
"H00000711";"N.V. Blanco";"Kwatrechtsteenweg";"113";"BE";"9230";"Wetteren";"";""
"H00000712";"Ochsner Hockey und Inline AG Embrac";"Industriestrasse";"2";"CH";"8424";"Embrach";"044 866 80 00";"044 866 80 01"
"H00000713";"Gürber";"Hauptstrasse";"6";"CH";"5024";"Küttingen";"62 8398000";"62 8398001"
"H00000714";"Bruno Piatti AG";"Rue Jacques-Dalphin";"12";"CH";"1227";"Carouge";"22 342 6070";"22 342 4034"
"H00000715";"Schreinerei Egli AG";"Wiesentalstrasse";"13";"CH";"9242";"Oberuzwil";"71 951 28 51";"71 951 28 24"
"H00000716";"Thomas Ferwagner";"Falkertstrasse";"71-2";"DE";"70176";"Stuttgart";"";""
"H00000717";"Eskiss SA";"Rue Bonne-de-Bourbon";"12";"CH";"1920";"Martigny";"27 7233080";"27 7233060"
"H00000718";"Décomural SA";"Rue de Cossonay";"11";"CH";"1023";"Crissier";"21 647 98 10";"21 647 98 36"
"H00000719";"Advitam";"Ch. des Cornillons";"94";"CH";"1292";"Chambesy";"22 731 1347";"22 731 1349"
"H00000720";"United Parcel Service";"Flughafen";"";"CH";"4030";"Basel";"0800 55 88 33";""
"H00000721";"Massart";"Chausseé de Tongres";"255";"BE";"4000";"Rocourt";"";""
"H00000722";"Texta AG";"Zürcherstrasse";"511";"CH";"9015";"St. Gallen";"71 313 43 12";"71 313 43 00"
"H00000723";"Brot Scann- & Kopiertechnik";"Büfeldstrasse";"1";"CH";"8370";"Sirnach";"71 969 30 70";"71 969 30 75"
"H00000724";"Direction de la Police locale et de";"";"";"CH";"1700";"Fribourg";"026 351 74 21";""
"H00000725";"Element Küchen AG Köniz";"Sägestrasse";"79";"CH";"3098";"Köniz";"31 978 08 08";"31 978 08 88"
"H00000726";"Ingeborg van Kessel";"Hardwareweg";"36";"NL";"3821";"BM Ammersfort";"";""
"H00000727";"Ambiance Cuisine Sàrl";"Route des Jeunes";"4";"CH";"1227";"Acacias-Genève";"22 3430531";"22 3430720"
"H00000728";"Sommer+Rindlisbacher AG";"Pulverweg";"4";"CH";"3401";"Burgdorf";"34 427 55 55";"34 427 55 56"
"H00000729";"ETS Reisen GmbH";"Hechtackerstrasse";"10";"CH";"9014";"St. Gallen";"71 278 60 60";"71 278 60 58"
"H00000730";"Hans Eisenring AG";"Pumpwerkstrasse";"4";"CH";"8370";"Sirnach";"71 969 19 19";"71 969 19 20"
"H00000731";"Paepens N.V.";"Ten Beukenboom";"18-19";"BE";"9400";"Ninove";"";""
"H00000732";"Globus St. Gallen";"Multergasse 47";"";"CH";"9001";"St. Gallen";"071 228 86 86";""
"H00000733";"Restaurant Krone";"";"";"CH";"9607";"Mosnang";"71 983 28 47";"71 983 50 47"
"H00000734";"Bernasconi SA";"";"";"CH";"";"";"";""
"H00000735";"Bernasconi SA";"Chemin Riantbosson";"12";"CH";"1217";"Meyrin";"22 7823058";"22 7823107"
"H00000736";"Element Küchen AG";"Gürbestrasse";"11";"CH";"3125";"Toffen";"";""
"H00000737";"Bitte bei Bestellung vermerken";"";"";"CH";"";"";"";""
"H00000738";"Stekon AG";"Gublenstrasse";"2";"CH";"8733";"Eschenbach";"";"55 286 22 01"
"H00000739";"Staplerfahrschule Toggenburg GmbH";"Hofen";"";"CH";"9614";"Libingen";"71 983 25 75";""
"H00000740";"Schweizerischer Verband für Wohnung";"Bucheggstrasse";"109";"CH";"8057";"Zürich";"44 362 42 40";"44 362 69 71"
"H00000741";"Bacilieri Architektur GmbH";"Bühlstrasse";"21";"CH";"8055";"Zürich";"44 462 97 62";"44 461 65 87"
"H00000742";"Scheffknecht Transporte";"Hagstrasse";"30";"AT";"6890";"Lustenau";"71 677 22 00";"71 677 22 14"
"H00000743";"Müller Hans";"Mettlen";"";"CH";"6074";"Giswil";"078 723 55 31";""
"H00000744";"Sam Leuenberger Sàrl";"Petite Corniche";"3";"CH";"1095";"Lutry";"21 7915005";"21 7916905"
"H00000745";"TNT Swiss Post AG";"Amsleracherweg";"8";"CH";"5033";"Buchs";"62 837 00 00";"62 823 29 23"
"H00000747";"Kirchgemeinde röm. kath.";"Rümelbachstrasse";"40";"CH";"8153";"Rümlang ZH";"";""
"H00000748";"Braun AG";"Mooswiesstrasse";"18";"CH";"9201";"Gossau";"71 388 71 71";"71 388 71 88"
"H00000749";"Erni Küchen AG";"Bodenackerstrasse";"1";"CH";"5014";"Gretzenbach";"62 8440300";"62 844 03 45"
"H00000750";"Bösch Schreinerei";"Lutenwil";"";"CH";"9650";"Nesslau";"71 9941914";"71 9941927"
"H00000751";"G. Brügger & Fils SA";"Rte. du Moulin";"4";"CH";"1723";"Marly";"26 4399696";"26 4399698"
"H00000752";"Sjartec B.V.";"Flevoweg";"2";"BE";"2318";"Leiden";"";""
"H00000753";"Phonak Communications AG";"Länggasse";"17";"CH";"3280";"Murten";"26 672 96 72";"26 672 96 77"
"H00000754";"Brändle Partyzelte";"Bildstrasse";"8";"CH";"9607";"Mosnang";"79 344 36 81";""
"H00000755";"Art Design";"Landstrasse";"119";"CH";"5412";"Gebenstorf";"56 2102535";"56 2102539"
"H00000756";"Thomas Triebfürst";"Bonhoefferstr.";"19a";"DE";"90473";"Nürnberg";"";""
"H00000757";"Chocoprint AG";"Rainachstrasse";"12";"CH";"6012";"Obernau";"41 320 08 08";"41 320 08 12"
"H00000758";"Element Küchen AG Hunzenschwil";"Fabrikweg";"1";"CH";"5502";"Hunzenschwil";"62 8890089";"62 8890088"
"H00000759";"Roger Barras";"Rte. de Lossy";"199";"CH";"1782";"Lossy";"26 4753719";"26 4753714"
"H00000760";"Interstaatliche Hochschule";"Werdenbergstrasse";"4";"CH";"9471";"Buchs";"81 755 33 11";"81 756 54 34"
"H00000761";"Minimax AG";"Stettbachstrasse";"8";"CH";"8600";"Dübendof";"43 833 44 55";"43 833 44 56"
"H00000762";"Sjartec B.V.";"Flevoweg";"2";"NL";"2318";"BZ Leiden";"";""
"H00000763";"Roland Holenstein";"Hubstrasse";"5";"CH";"9535";"Wilen bei Wil";"71 9200746";"71 9200747"
"H00000764";"Schreinerei Marx";"Gässli";"2";"CH";"7023";"Haldenstein";"81 354 94 40";"81 354 94 49"
"H00000765";"Richter + Frenzel GmbH";"Max-von-Laue-Strasse";"9";"DE";"86156";"Augsburg";"";""
"H00000766";"Hotel Landgasthof Rössli";"Tufertschwil";"20";"CH";"9604";"Lütisburg";"71 932 01 00";"71 932 01 13"
"H00000767";"Ziegler Spenglerei + Bedachungen AG";"";"";"CH";"9606";"Bütschwil";"";""
"H00000768";"Furter AG";"Hauptstrasse";"41";"CH";"8269";"Furthwilen";"71 660 00 77";"71 660 00 75"
"H00000769";"Generali Versicherungen";"Soodmattenstrasse";"2";"CH";"8134";"Adliswil";"44 712 78 48";"44 712 78 78"
"H00000770";"Kurt Leibacher AG";"Hofwisensrtr.";"19";"CH";"8260";"Stein am Rhein";"52 7413122";"52 7413769"
"H00000771";"Fedex Express";"Rue de Ateliers";"9";"CH";"1217";"Meyrin";"22 741 58 50";"22 741 58 59"
"H00000772";"Best Western Hotel Walhalla";"Bahnhofplatz";"";"CH";"9001";"St. Gallen";"71 228 28 00";"71 228 28 90"
"H00000773";"Process Product Design AG";"Weggisgasse";"40";"CH";"6000";"Luzern";"41 412 03 80";"41 412 03 81"
"H00000774";"Schmid AG";"Bleikenstrasse";"54";"CH";"9630";"Wattwil";"71 988 36 33";"71 988 50 27"
"H00000775";"Pietsch GmbH & Co. KG";"Von Braun Strasse";"17-19";"DE";"48683";"Ahaus";"2561 77 193";"2561 77 573"
"H00000776";"Metall Werk Zürich AG";"Birchstrasse";"106";"CH";"8050";"Zürich";"044 310 28 20";"044 310 28 21"
"H00000777";"Nordis Verlag";"Schürmannstrasse";"2-6";"DE";"45136";"Essen";"201 87229 0";"201 89425 11"
"H00000778";"IST AG";"Industriestrasse";"2";"CH";"9630";"Wattwil";"71 987 73 73";"71 987 73 77"
"H00000779";"Bäckerei-Konditorei Bisegger";"Konstanzer Str.";"14";"CH";"9500";"Wil";"71 911 05 13";"71 911 05 46"
"H00000780";"Brunox AG";"Etzelstrasse";"4";"CH";"8730";"Uznach";"55 285 80 80";"55 285 80 81"
"H00000781";"Limbu S A";"Avenue des Dèmineurs";"24";"BE";"4970";"Stavelot";"";""
"H00000782";"Nicejob AG";"Steinacherstrasse";"27 a";"CH";"9327";"Tübach";"71 8452950";"71 8452949"
"H00000783";"Ivo Giger AG";"Küfersberg";"19";"CH";"9606";"Bütschwil";"71 9835077";"71 9835177"
"H00000784";"Rhenania ROBA AG";"Südquaistrasse";"14";"CH";"4002 BASEL";"Basel";"61 6384141";"61 6384180"
"H00000785";"T.O.P. Sanitär Handels-GmbH";"Hamburger Str.";"19";"DE";"49124";"Georgsmarienhütte";"5401 868230";"5401 868212"
"H00000786";"Acry-Trend AG";"In der Güpf";"5";"CH";"5610";"Wohlen (AG)";"56 622 92 42";"56 622 96 34"
"H00000787";"Hotel Spirgarten";"Lindenplatz";"5";"CH";"8048";"Zürich / Altstetten";"44 438 15 15";""
"H00000788";"DMG Armaturen GmbH";"Erlenstrasse";"2a";"CH";"2555";"Brügg";"32 373 2838";"32 373 2863"
"H00000789";"Eidgenössisches Starkstrominsp.";"Luppmenstrasse";"1";"CH";"8320";"Fehraltorf";"44 956 12 12";"44 956 12 22"
"H00000790";"Interfracht Tolimpex AG";"Hagnaustrasse";"27";"CH";"4132";"Muttenz";"61 3781818";"61 3781800"
"H00000791";"Kaufmann AG";"Ernetschwilerstr.";"27";"CH";"8737";"Gommiswald";"55 2858640";"55 2858647"
"H00000792";"VSSM";"Bleikenstrasse";"54";"CH";"9630";"Wattwil";"";""
"H00000793";"Oekotec Haustechnik";"Ahornstrasse";"11";"CH";"8962";"Bergdietikon";"";"44 7406327"
"H00000794";"Keller+Cecchinato AG";"Stahlstrasse";"8";"CH";"9000";"St. Gallen";"71 2774322";"71 2774364"
"H00000795";"Gir Plattenbeläge AG";"Chesa Sudèr, Cho d'Punt";"47";"CH";"7503";"Samedan";"81 8523737";"81 8523888"
"H00000796";"Granimor Wüthrich AG";"Thalerstrasse";"46 a";"CH";"9424";"Rheineck SG";"71 888 17 64";"71 888 23 63"
"H00000797";"Baumann Herrenmode";"Spisergasse";"21";"CH";"9000";"St. Gallen";"071 222 56 51";""
"H00000798";"Classified AG";"Steinacherstrasse";"27 a";"CH";"9327";"Tübach";"71 8452950";"71 8452949"
"H00000799";"Gschwend & Furgler AG";"Industriestrasse";"2";"CH";"9630";"Wattwil";"71 9881919";"71 9881350"
"H00000800";"Kantonsschule Am Burggraben";"Burggraben";"21";"CH";"9000";"St. Gallen";"071 228 14 14";"071 228 14 60"
"H00000801";"Alois Münch AG";"Allschwlierstrasse";"35";"CH";"4055";"Basel";"61 3011443";"61 3011444"
"H00000802";"Juchli Baumeler";"Rosenweg";"3";"CH";"6234";"Triengen";"41 933 3058";"41 933 3059"
"H00000803";"Cuisinissima";"Rte. de Vevey";"29";"CH";"1009";"Pully";"21 7916280";"21 7916281"
"H00000804";"Kontiki-Saga Reisen AG";"Wettingerstrasse";"23";"CH";"5400";"Baden";"056 2036677";"056 2036620"
"H00000805";"Koller Transport B.V.";"t.b.v. Rivium, VCapelle s/d IJ";"Kryptonweg";"NL";"3812";"RZ Amersfoort";"";""
"H00000806";"Schaerer Schreinerei AG";"Im Hanselmaa";"4";"CH";"8132";"Egg bei Zürich";"43 277 1010";"43 277 1011"
"H00000807";"Remo Marc Nüesch";"Lindenstrasse";"73";"CH";"9000";"St. Gallen";"71 2456111";"71 245141"
"H00000808";"Hilti (Schweiz) AG";"Soodstrasse";"61";"CH";"8134";"Adliswil/Zürich";"0844 848485";"0844 848486"
